DateStock,No_,Description,Gen_Prod_Posting Group,Quantité,Cout,Site,Encours,Nom abrégé,GroupeItem,GroupeClient,Quantit
2026-04-05,ART-1392,Article Industriel 392 Plastique,MAT_PREM,504.32,209.69,DEPOT B,0,ART-392,PLASTIQUE,CLIENT_AERO,504.32
2026-04-05,ART-1512,Article Industriel 512 Divers,EMBALLAGE,1133.28,599.03,DEPOT B,1,ART-512,DIVERS,CLIENT_AERO,1133.28
2026-03-15,ART-1633,Article Industriel 633 Divers,COMPOSANT,69.29,94.22,DEPOT A,1,ART-633,DIVERS,DIVERS_LOCAL,69.29
2026-03-05,ART-1576,Article Industriel 576 Visserie,COMPOSANT,1308.29,21.7,ATELIER 1,0,ART-576,VISSERIE,DIVERS_LOCAL,1308.29
2026-04-05,ART-1587,Article Industriel 587 Emballage,MAT_PREM,484.5,299.95,ATELIER 1,0,ART-587,EMBALLAGE,CLIENT_AERO,484.5
2026-01-15,ART-1277,Article Industriel 277 Hydraulique,ACHAT_DIR,1448.51,468.99,DEPOT A,0,ART-277,HYDRAULIQUE,CLIENT_AERO,1448.51
2026-01-15,ART-1204,Article Industriel 204 Divers,ACHAT_DIR,1027.35,511.11,DEPOT A,1,ART-204,DIVERS,CLIENT_AERO,1027.35
2026-03-31,ART-1138,Article Industriel 138 Plastique,PROD_FINI,856.93,374.92,ATELIER 1,1,ART-138,PLASTIQUE,DIVERS_LOCAL,856.93
2026-04-15,ART-1353,Article Industriel 353 Emballage,COMPOSANT,874.17,587.49,DEPOT A,1,ART-353,EMBALLAGE,DIVERS_LOCAL,874.17
2026-03-31,ART-1312,Article Industriel 312 Emballage,ACHAT_DIR,1400.9,598.01,ATELIER 1,0,ART-312,EMBALLAGE,EXPORT_EU,1400.9
2026-01-31,ART-1471,Article Industriel 471 Hydraulique,EMBALLAGE,1038.66,78.38,DEPOT NORD,0,ART-471,HYDRAULIQUE,EXPORT_EU,1038.66
2026-03-05,ART-1463,Article Industriel 463 Emballage,PROD_FINI,534.55,38.21,DEPOT B,0,ART-463,EMBALLAGE,EXPORT_EU,534.55
2026-03-31,ART-1477,Article Industriel 477 Hydraulique,COMPOSANT,1449.1,68.58,DEPOT NORD,0,ART-477,HYDRAULIQUE,INTERNE,1449.1
2026-04-05,ART-1495,Article Industriel 495 Divers,COMPOSANT,487.53,373.18,DEPOT NORD,0,ART-495,DIVERS,INTERNE,487.53
2026-04-05,ART-1708,Article Industriel 708 Divers,COMPOSANT,998.44,412.41,MAGASIN CENTRAL,0,ART-708,DIVERS,CLIENT_AERO,998.44
2026-03-05,ART-1035,Article Industriel 35 Divers,ACHAT_DIR,1162.7,229.25,DEPOT A,0,ART-35,DIVERS,DIVERS_LOCAL,1162.7
2026-01-05,ART-1078,Article Industriel 78 Metallurgie,COMPOSANT,999999,183.26,DEPOT A,0,ART-78,METALLURGIE,CLIENT_AERO,141.85
2026-04-30,ART-1086,Article Industriel 86 Divers,COMPOSANT,473.34,594.35,MAGASIN CENTRAL,1,ART-86,DIVERS,INTERNE,473.34
2026-04-15,ART-1711,Article Industriel 711 Emballage,COMPOSANT,1406.82,442.12,MAGASIN CENTRAL,1,ART-711,EMBALLAGE,CLIENT_AERO,1406.82
2026-03-31,ART-1146,Article Industriel 146 Visserie,COMPOSANT,1264.53,86.04,MAGASIN CENTRAL,0,ART-146,VISSERIE,CLIENT_AUTO,1264.53
2026-03-15,ART-1183,Article Industriel 183 Electronique,ACHAT_DIR,509.23,444.42,DEPOT A,0,ART-183,ELECTRONIQUE,EXPORT_EU,509.23
2026-01-31,ART-1458,Article Industriel 458 Divers,MAT_PREM,282.74,560.93,MAGASIN CENTRAL,0,ART-458,DIVERS,INTERNE,282.74
2026-03-31,ART-1204,Article Industriel 204 Divers,ACHAT_DIR,152.61,120.29,MAGASIN CENTRAL,1,ART-204,DIVERS,DIVERS_LOCAL,152.61
2026-03-05,ART-1485,Article Industriel 485 Hydraulique,ACHAT_DIR,1136.92,509.9,MAGASIN CENTRAL,0,ART-485,HYDRAULIQUE,DIVERS_LOCAL,1136.92
2026-04-05,ART-1661,Article Industriel 661 Hydraulique,EMBALLAGE,1100.42,252.93,DEPOT B,0,ART-661,HYDRAULIQUE,INTERNE,110.04
2026-04-05,ART-1178,Article Industriel 178 Visserie,PROD_FINI,67.7,304.27,ATELIER 1,0,ART-178,VISSERIE,CLIENT_AERO,67.7
2026-04-15,ART-1402,Article Industriel 402 Plastique,MAT_PREM,510.3,4.32,DEPOT B,0,ART-402,PLASTIQUE,EXPORT_EU,510.3
2026-01-15,ART-1625,Article Industriel 625 Divers,EMBALLAGE,426.35,396.19,DEPOT B,0,ART-625,DIVERS,CLIENT_AUTO,426.35
2026-04-30,ART-1449,Article Industriel 449 Divers,ACHAT_DIR,831.65,44.12,DEPOT B,0,ART-449,DIVERS,CLIENT_AUTO,831.65
2026-04-30,ART-1113,Article Industriel 113 Divers,PROD_FINI,1411.04,99.11,MAGASIN CENTRAL,0,ART-113,DIVERS,EXPORT_EU,1411.04
